"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|SE3","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1037","n/e","6294","439","n/e","0","n/e","n/e","2686"
"BZN|SE3","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1033","n/e","6293","446","n/e","0","n/e","n/e","2710"
"BZN|SE3","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1035","n/e","6292","456","n/e","0","n/e","n/e","2681"
"BZN|SE3","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1043","n/e","6294","468","n/e","0","n/e","n/e","2680"
"BZN|SE3","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1041","n/e","6292","502","n/e","0","n/e","n/e","2695"
"BZN|SE3","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1227","n/e","6294","542","n/e","0","n/e","n/e","2709"
"BZN|SE3","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","10","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1374","n/e","6292","589","n/e","0","n/e","n/e","2670"
"BZN|SE3","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","10","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1393","n/e","6294","575","n/e","0","n/e","n/e","2668"
"BZN|SE3","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1391","n/e","6293","570","n/e","2","n/e","n/e","2675"
"BZN|SE3","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1365","n/e","6292","562","n/e","4","n/e","n/e","2634"
"BZN|SE3","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1330","n/e","6293","549","n/e","4","n/e","n/e","2676"
"BZN|SE3","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1333","n/e","6294","554","n/e","2","n/e","n/e","2662"
"BZN|SE3","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1424","n/e","6294","556","n/e","1","n/e","n/e","2660"
"BZN|SE3","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1425","n/e","6294","561","n/e","0","n/e","n/e","2664"
"BZN|SE3","03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1498","n/e","6295","561","n/e","0","n/e","n/e","2720"
"BZN|SE3","03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1569","n/e","6296","565","n/e","0","n/e","n/e","2688"
"BZN|SE3","03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1574","n/e","6294","532","n/e","0","n/e","n/e","2687"
"BZN|SE3","03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1574","n/e","6293","530","n/e","0","n/e","n/e","2680"
"BZN|SE3","03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1524","n/e","6293","520","n/e","0","n/e","n/e","2651"
"BZN|SE3","03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1451","n/e","6293","503","n/e","0","n/e","n/e","2634"
"BZN|SE3","03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1281","n/e","6293","491","n/e","0","n/e","n/e","2582"
"BZN|SE3","03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1224","n/e","6293","486","n/e","0","n/e","n/e","2559"
"BZN|SE3","04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1172","n/e","6291","532","n/e","0","n/e","n/e","2572"
"BZN|SE3","04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1143","n/e","6292","526","n/e","0","n/e","n/e","2527"
"BZN|SE3","04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1125","n/e","6210","530","n/e","0","n/e","n/e","2482"
"BZN|SE3","04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1120","n/e","6029","529","n/e","0","n/e","n/e","2457"
"BZN|SE3","04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1135","n/e","5844","530","n/e","0","n/e","n/e","2418"
"BZN|SE3","04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1162","n/e","5757","556","n/e","0","n/e","n/e","2385"
"BZN|SE3","04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1215","n/e","5756","589","n/e","0","n/e","n/e","2342"
"BZN|SE3","04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1349","n/e","5756","592","n/e","0","n/e","n/e","2281"
"BZN|SE3","04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1429","n/e","5757","627","n/e","0","n/e","n/e","2211"
"BZN|SE3","04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1468","n/e","5755","623","n/e","0","n/e","n/e","2140"
"BZN|SE3","04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1478","n/e","5754","612","n/e","3","n/e","n/e","2044"
"BZN|SE3","04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1458","n/e","5759","638","n/e","8","n/e","n/e","1941"
"BZN|SE3","04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1697","n/e","5758","655","n/e","9","n/e","n/e","1859"
"BZN|SE3","04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1724","n/e","5759","635","n/e","5","n/e","n/e","1736"
"BZN|SE3","04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1768","n/e","5760","626","n/e","2","n/e","n/e","1668"
"BZN|SE3","04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1805","n/e","5760","667","n/e","0","n/e","n/e","1617"
"BZN|SE3","04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1812","n/e","5760","877","n/e","0","n/e","n/e","1539"
"BZN|SE3","04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1823","n/e","5759","888","n/e","0","n/e","n/e","1447"
"BZN|SE3","04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1826","n/e","5767","888","n/e","0","n/e","n/e","1320"
"BZN|SE3","04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1808","n/e","5879","862","n/e","0","n/e","n/e","1234"
"BZN|SE3","04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1793","n/e","6049","836","n/e","0","n/e","n/e","1123"
"BZN|SE3","04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1589","n/e","6132","784","n/e","0","n/e","n/e","1042"
"BZN|SE3","04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1534","n/e","6187","744","n/e","0","n/e","n/e","959"
"BZN|SE3","04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1470","n/e","6278","733","n/e","0","n/e","n/e","896"
"BZN|SE3","05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1266","n/e","6286","668","n/e","0","n/e","n/e","877"
"BZN|SE3","05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1243","n/e","6294","658","n/e","0","n/e","n/e","872"
